labels,text,text_hi,text_de
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION","2004 से 500 नए मोबाइल्स, MUSTCHAT! : कोई नहीं: कोई 89545 और आपके लिए इकट्ठा! OA4 पाउंड www.x-c. baseac से 0.25570.50-50-20-0.50-04-0440-0440.50-0-04-04-04-044ververving","500 neue Handys von 2004, MUSS gehen! Txt: NOKIA bis Nr: 89545 & sammeln Sie Ihre heute!Von nur £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUKTION"
ham,We're finally ready fyi,हम अंत में फ़ी तैयार कर रहे हैं,Wir sind endlich bereit fyi
ham,Auntie huai juan never pick up her phone,आंटी मोची उसका फोन कभी नहीं उठा,Tante huai juan nimm ihr Handy nie ab
spam,Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56,"डबल मिक्स तथा 1/2 मूल्य Tx & 1/2 मूल्य रिपरल लेबर. बहुत नवीनतम भेंट के लिए मोबाइल- अप- अप- अप- अप88 को कॉल करें. 0. 08,0009999940 या2 बार कॉल /656",Double Mins & Double Txt & 1/2 Preis Linerental auf den neuesten Orange Bluetooth Handys. Rufen Sie MobileUpd8 für die neuesten Angebote. 08000839402 oder call2optout/LF56
ham,"Ya tel, wats ur problem..","Yatete, वेटर समस्या..","Ya tel, wats ur Problem.."
spam,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,"नहीं. 1Noka टोन 4 हर सप्ताह भीड़! बस 87021 के लिए नहीं, बस 1st टोन्क के लिए! तो अब हो और दोस्तों को बताओ 150/ट. 16 का जवाब है 4",No. 1 Nokia Tone 4 ur Mob jede Woche! Nur txt NOK zu 87021. 1. Tone kostenlos! so erhalten txtin jetzt und erzählen ur Freunden. 150p / Tone. 16 Antwort HL 4info
ham,i dnt wnt to tlk wid u,Tlkekudu करने के लिए Ddddddddd,n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n t n n n n n n
ham,"We spend our days waiting for the ideal path to appear in front of us.. But what we forget is.. ""paths are made by walking.. not by waiting.."" Goodnight!","हम हमारे सामने एक आदर्श पथ दिखाई देने के लिए हमारे दिन ख़र्च करते हैं. लेकिन क्या हम भूल जाते हैं. ""path चल रहे हैं. प्रतीक्षा करने के द्वारा नहीं. "" शुभ रात्रि! ""","Wir verbringen unsere Tage damit, auf den idealen Weg zu warten, um vor uns zu erscheinen.. Aber was wir vergessen ist.. ""Wege werden gemacht, indem man geht.. nicht durch Warten.."" Gute Nacht!"
ham,Its ok my arm is feeling weak cuz i got a shot so we can go another time,इसका ठीक है मेरे हाथ कमजोर Casz मैं एक शॉट मिला है लग रहा है ताकि हम एक और समय जा सकते हैं,"Es ist ok mein Arm fühlt sich schwach cuz Ich habe einen Schuss, damit wir ein anderes Mal gehen können"
ham,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..,. कोई टिकट पहले से ही जाल में देखना चाहते हैं.,Bitte reservieren Sie das Ticket am Samstagabend von chennai nach thirunelvali und wieder von tirunelvali nach chennai am Sonntagabend...ich sehe bereits im net..kein Ticket verfügbar..i möchte das Ticket über Tackle buchen..
ham,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@","तूफानिंग : Wenuphhne, uhwowown कहते हैं, क्या uwawaw का वास्तविक अर्थ है??","Storming msg: Wen u lift d phne, u sagen ""HELLO"" Do u knw wt is d real Bedeutung von HELLO??... Es ist d Name eines Mädchens......... Und u knw wer ist dat girl?? ""Margaret Hallo"" Sie ist d girlfrnd f Grahmbell, die invnted Telefon....... Moral:Man kann 4get d Name einer Person, bt nicht seine girlfrnd... G o d n i g h t.....@"
ham,That's ok. I popped in to ask bout something and she said you'd been in. Are you around tonght wen this girl comes?,यह ठीक है. मैं बाहर कुछ पूछने के लिए चला गया और उसने कहा कि तुम अंदर हो जाएगा. क्या आप इस लड़की के चारों ओर आ रहे हैं?,"Ich wollte was fragen, und sie sagte, du wärst dabei gewesen."
ham,All e best 4 ur exam later.,सभी सबसे अच्छा 4 परीक्षा बाद में.,Alle besten 4 ur Prüfung später.
ham,Hope ur head doesn't hurt 2 much ! Am ploughing my way through a pile of ironing ! Staying in with a chinky tonight come round if you like.,आशा है कि सिर को 2 अधिक चोट नहीं लगती है!,"Hoffe ur Kopf tut nicht weh 2 viel! Ich pflügen meinen Weg durch einen Haufen von Bügeln! Bleiben Sie mit einem kniffligen heute Abend kommen rund, wenn Sie möchten."
ham,Oh k.i think most of wi and nz players unsold.,ओह के.i लगता है कि सबसे अधिक सांप और nzhy खिलाड़ियों अभ्य लगता है.,"Oh k.i denken, die meisten der Wi-und NZ-Spieler nicht verkauft."
ham,"Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.","हा, जहां इतनी तेजी से हार गया था, जहां skz 4 एक महीने की खाई हो गया था... गीत, के बाद बाद हम uske eke डाल दिया.","Wo haben so schnell Gewicht zu verlieren, thk muz gehen 4 im Monat Den haben Wirkung... Gott, später gehen wir aust setzen bk e Gewicht."
ham,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy","मुझे आश्चर्य है कि कैसे आप ऑनलाइन, मेरे प्यार है? आप जाल के लिए चला गया था? क्या आप अपने फोन फिर से प्राप्त? आप एक दोस्त थे? मैं आप के बारे में सोचते हैं, लड़के.","Ich frage mich, wie du online kamst, meine Liebe? Warst du zum Netzcafé gegangen? Hast du dein Telefon aufgeladen bekommen? Warst du auf einem Freundesnetz? Ich denke an dich, Junge"
ham,"Haha just kidding, papa needs drugs","हा, बस मजाक कर रहा है, पिताजी को दवाओं की जरूरत है","Haha nur Spaß, Papa braucht Drogen"
ham,"Thk shld b can... Ya, i wana go 4 lessons... Haha, can go for one whole stretch...","Bakod b... या, Yaga 4 सबक जा सकते हैं... हा, एक पूरी दूरी के लिए जा सकते हैं...","Ja, ich weiß, ich habe 4 Lektionen, Haha, kann für eine ganze Strecke gehen..."
ham,Oh ok..,ओह ठीक है.,"Oh, schon gut."
ham,R we still meeting 4 dinner tonight?,R हम अभी भी 4 रात के खाने से बैठक कर रहे हैं?,R treffen wir uns heute Abend noch mit 4 Abendessen?
ham,Thats cool! I am a gentleman and will treat you with dignity and respect.,मैं एक सज्जन हूँ और आप सम्मान और सम्मान के साथ इलाज करेंगे.,Ich bin ein Gentleman und werde Sie mit Würde und Respekt behandeln.
ham,Shall i start from hear.,क्या मैं सुनूँगा.,Soll ich von Anfang an hören.
ham,Then we wait 4 u lor... No need 2 feel bad lar...,तो फिर हम 4 यूआर का इंतज़ार कर रहे हैं... कोई 2 की आवश्यकता नहीं है बुरा लामर...,Dann warten wir 4 u lor... keine Notwendigkeit 2 fühlen sich schlecht Lar...
ham,No did you check? I got his detailed message now,कोई तुमने जाँच नहीं की? मैं अपने विस्तृत संदेश अब मिला,"Nein, hast du nachgesehen?"
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,आपने शासी के रूप में पापको को पंजीकृत किया है. Isciox.com में लॉग और art &l &gt; सत्यापित करने के लिए. धोखाधड़ी से खबरदार करें. किसी को भी नहीं साझा या फिर प्रकट न करें.,"Sie haben Sinco als Payee registriert. Melden Sie sich bei icicibank.com an und geben Sie URN &lt;#&gt; ein, um zu bestätigen."
ham,"No, I decided that only people who care about stuff vote and caring about stuff is for losers","नहीं, मैं ने तय किया कि केवल ऐसे लोग जो वोट देने की परवाह करते हैं और चीजों की देख - भाल करने के लिए घाटे में हैं","Nein, ich habe entschieden, dass nur Leute, die sich um Dinge interessieren, wählen und sich um Dinge kümmern, für Verlierer sind."
ham,Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...,काई... Neapa का आनंद लें...... oeeeee seee seeee seee seeeeee seeeeee......... /eeeeeeeeeeeee seeeeeeeeee see seeeee seeeeeeeeeeeeeeeea........................... /eeeeeeeeeeeeeeeeeeeee...... / मैं... / मैं... / मैं / मैं / मैं / मैं / मैं / मैं / मैं / मैं / मैं / मैं / मैं / मैं हूँ / मैं / मैं / मैं / मैं / मैं / मैं,Kaiez... Genießen Sie ur Unterricht... Gee... Thk e zweite Option klingt Beta... Ich werde gehen yan Jiu den msg u...
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,आपने शासी के रूप में पापको को पंजीकृत किया है. Isciox.com में लॉग और art &l &gt; सत्यापित करने के लिए. धोखाधड़ी से खबरदार करें. किसी को भी नहीं साझा या फिर प्रकट न करें.,"Sie haben Sinco als Payee registriert. Melden Sie sich bei icicibank.com an und geben Sie URN &lt;#&gt; ein, um zu bestätigen."
ham,cool. We will have fun practicing making babies!,हम बच्चों को बनाने में मज़ा लेंगे!,"Wir werden Spaß haben, Babys zu machen!"
ham,Actually getting ready to leave the house.,असल में घर छोड़ने के लिए तैयार हो रही है.,"Wir machen uns bereit, das Haus zu verlassen."
ham,K..k..any special today?,के.k. किसी भी विशेष आज?,Hat K.k. heute etwas Besonderes?
spam,"URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU",FURENENENENENE: O2 अमेरिका के लिए उद्देश्य _BAR_ आज आपका दिन है _BAR_ 2 बाहर निकालो _BAR_क्यों _BAR_ हवा _REEEEEEEEER _BAR _BAR_ वहाँ सुरक्षित है _BAR_ वहाँ आप के लिए एक भीड़ है _BAR_,"WICHTIGE, WICHTIGE INFORMATIONEN FÜR O2 ANWENDER. HEUTE IST IHR LUCKY TAG! 2 WARUM LOG ONTO HTTP://WWW.URAWINNER.COM IST EIN FANTASTISCHES ÜBERWACHUNGSWESEN FÜR SIE"
ham,Then we gotta do it after that,तो हम इसके बाद यह करना होगा,Dann müssen wir es danach machen.
ham,"I've got ten bucks, jay is being noncomittal","मैं दस रुपये मिल गया है, Jay गैर कॉमल किया जा रहा है","Ich habe zehn Mäuse, jay ist nicht komittal"
ham,Where at were hungry too,जहाँ भूख लगी थी,Wo an waren auch hungrig
ham,Pls speak to that customer machan.,बैल उस ग्राहक मार्क से बात करते हैं.,Pls sprechen mit dem Kunden Machan.
ham,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,"कहीं वहाँ से नीचे, पीला चाँद प्रकाश के नीचे किसी को लगता है कि वहाँ बाहर कोई सपना सच वहाँ... अच्छे सपने आते हैं।","irgendwo da draußen unter dem hellen Mondlicht jemand denken in u einige, wo draußen, wo Träume wahr werden... goodnite & amp; süße Träume"
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da.","Hueukauks प्यार से गुस्सा आ रहा है, इसे गंभीरता से लेते हैं. Cudue क्रोध हो रहा है सबसे सही तरीका है गहरी प्यार दिखाने का, Nugv! uauauaud आदमी... अच्छा दिन है.","Wen ur liebenswerte Bums wütend wid u, dnt nehmen es ernst.. Coz wütend ist d meisten kindisch n wahre Art und Weise zeigt tiefe Zuneigung, Pflege n Luv!. kettoda manda... Haben schönen Tag da."
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs,प्रिय अमेरिका XCHAT के लिए आमंत्रित किया गया है। यह करने के लिए हमारी अंतिम प्रयास है यू. टी. सी. सी. सी. सी. सी.,Liebe U've eingeladen zu XCHAT. Dies ist unser letzter Versuch zu kontaktieren u! Txt CHAT bis 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs
ham,So wats ur opinion abt him and how abt is character?,तो वे उसे लगता है और कैसे एक स्वर चरित्र है?,Also wats ur Meinung abt ihn und wie abt ist Charakter?
ham,Jay is snickering and tells me that x is totally fucking up the chords as we speak,जय supering है और मुझे बताता है कि एक्स पूरी तरह से बाहर है के रूप में हम बोलते हैं,"Jay schnüffelt und sagt mir, dass x die Akkorde total vermasselt, während wir sprechen"
ham,No..few hours before.went to hair cut .,"नहीं, कुछ समय पहले.. बाल कटौती करने के लिए चला गया.",No..few Stunden vor.wurden Haarschnitt.
ham,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...,कोई ताज्जुब नहीं कि... Cudn I एक चांदी कार को फिर से देख रहा है... लेकिन मैं thkik मैं एक काले एक देखा...,"Kein Wunder, weil ich ein silbernes Auto sah, aber ich sah ein schwarzes..."
ham,Lmao. Take a pic and send it to me.,Lamo. एक pic लें और यह मेरे पास भेजें.,"Lmao, mach ein Foto und schick es mir."
ham,Speak only when you feel your words are better than the silence... Gud mrng:-),केवल जब आपको लगता है कि अपने शब्द मौन से बेहतर हैं... गंदंग:),"Sprich nur, wenn du das Gefühl hast, dass deine Worte besser sind als die Stille... Gud mrng:-)"
ham,No. She's currently in scotland for that.,"नहीं, वह अभी उस के लिए स्केलोलैंड में है.","Nein, dafür ist sie gerade in Schottland."
ham,Do you work all this week ?,आप इस सप्ताह सभी काम करते हैं?,Arbeitest du die ganze Woche?
spam,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16,बधाई या तो सीडी उपहार के $५०० पाउंड दिए गए हैं...... या मुक्त प्रविष्टि 2 876 संगीत www.ldz.com,Herzlichen Glückwunsch entweder £500 von CD-Geschenkgutscheinen & Freier Eintritt 2 unsere £100 wöchentliche Ziehung txt MUSIC an 87066 TnCs www.Ldew.com 1 win150ppmx3age16
ham,Lol great now im getting hungry.,अब भूख लगी है महान.,Lol toll jetzt im immer hungrig.
ham,Yes.. now only saw your message..,हाँ. अब केवल अपने संदेश को देखा.,Ja.. jetzt nur Ihre Nachricht gesehen..
ham,I'll be at mu in like  &lt;#&gt;  seconds,मैं &l;#gt; सेकंड की तरह बीमार हो जाएगा,Ich bin bei Mu in &lt;#&gt; Sekunden
ham,Ok...,ओक...,In Ordnung.
ham,THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION? IS FRAN STILL WITH BOYF? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x,शादी के बंधन को मज़बूत करने के लिए आप क्या कर सकते हैं?,DIE GUT THANX GUT EXAMS IN MÄRZ IVE DONE KEINE REVISION? IST FRAN SIND MIT KUNST? IVE GOTTA INTERVIW 4 EXETER BIT WORRIED!x
ham,"Tell you what, if you make a little spreadsheet and track whose idea it was to smoke to determine who ""smokes too much"" for the entire month of february, I'll come up","आपको बताओ, अगर आप एक छोटे से स्प्रेडशीट और ट्रैक बनाने के लिए... / मैं... यह धूम्रपान करने के लिए कौन ""मोकेक"" था thuckry के पूरे महीने के लिए, मैं ऊपर आ जाएगा","Ich sage Ihnen was, wenn Sie eine kleine Tabellenkalkulation machen und verfolgen, wessen Idee es war zu rauchen, um herauszufinden, wer für den ganzen Monat Februar zu viel raucht, werde ich kommen"
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!,अच्छी हालत तो यह है कि न तो दोगुना या नल!,"Zu verkaufen - Arsenal Dartboard. Guter Zustand, aber keine Doppel-oder Höhen!"
ham,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!,वापस इमारत पर मत देखो क्योंकि तुम्हारे पास कोई कोट नहीं है और मैं नहीं चाहता कि तुम अधिक बीमार हो. बस घर जल्दी करो और टाइटन के लिए एक कोट पहनो!,"Schauen Sie nicht auf das Gebäude zurück, weil Sie keinen Mantel haben und ich will nicht, dass Sie kranker werden. Beeilen Sie sich einfach nach Hause und tragen Sie einen Mantel ins Fitnessstudio!!!"
ham,"My painful personal thought- ""I always try to keep everybody happy all the time. But nobody recognises me when i am alone""","""मैं हमेशा हर समय खुश रखने की कोशिश करता हूँ। लेकिन कोई मुझे पहचान नहीं पाता जब मैं अकेला हूँ""","Mein schmerzlicher persönlicher Gedanke: ""Ich versuche immer, jeden glücklich zu halten, aber niemand erkennt mich, wenn ich allein bin."""
ham,Thanks for ve lovely wisheds. You rock,प्रिय इच्छा के लिए धन्यवाद.,Danke für fünf schöne Wünsche. Sie rocken
ham,You intrepid duo you! Have a great time and see you both soon.,आप दृढ़ चाल में हैं!,Du unerschrockenes Duo du! Viel Spaß und wir sehen uns beide bald.
ham,I asked sen to come chennai and search for job.,मैं काम के लिए खोजें आने के लिए Sanen कहा.,"Ich bat Sen, Channai zu kommen und Arbeit zu suchen."
ham,Dad went out oredi...,पिताजी बाहर चला गया या्डी...,Dad ging aus Oredi...
ham,"I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet.","मैं अपनी सच आशा करता हूँ कि मेरे सह में मैं वास्तव में उसे cininin हूँ! आप के बारे में दोषी महसूस करने के लिए कुछ भी नहीं किया है, अभी तक.","Ich hoffe, dass es wahr ist, dass ich vermisst werde, weil ich ihn wirklich vermisse!"
ham,Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...,या हम Yz 4 रात के खाने के लिए जाना जाता है। Aadymo...,Oder wir gehen 4 Abendessen lor. Aiya i dunno...
ham,"Arms fine, how's Cardiff and uni?","हथियारों ठीक है, कैसे कार्ड फ़ी और अनी है?","Arme gut, wie geht's Cardiff und Uni?"
ham,In fact when do you leave? I think addie goes back to school tues or wed,वास्तव में जब आप छोड़ देते हैं? मुझे लगता है कि Addie स्कूल के लिए वापस चला जाता है या वेड,"In der Tat, wann gehen Sie? Ich denke, addie geht zurück in die Schule tun oder heiraten"
ham,"Cool breeze... Bright sun... Fresh flower... Twittering birds... All these waiting to wish u: ""GOODMORNING &amp; HAVE A NICE DAY"" :)","शांत हवा... उज्ज्वल फूल...... पक्षी...... उड़ान भरी पक्षियों...... वे सभी uckMomoring करने के लिए इंतज़ार कर रहे हैं: ""ओरलिंगिंगिंग, एक अच्छा दिन है"" : : (S)","Coole Brise... Helle Sonne... Frische Blume... Twittern Vögel... All diese warten auf wünschen u: ""GOODMORNING & amp; HABEN EINEN NICE-TAG"" :)"
ham,Ya:)going for restaurant..,या:...................................................,Ya:) geht für Restaurant..
ham,"Its ok., i just askd did u knw tht no?","इसके ठीक है, मैं सिर्फ unwd नहीं किया था?","Es ist okay, ich habe gerade gefragt, hat u knw tht no?"
spam,Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,फ्री 1ला सप्ताह प्रविष्टि 2 TEXTPEPD 4 एक मौका 2 40GB आई या पाउंड प्रति wak. TTOD TOD TOTC के लिए TOD TOTC TT. TOTEX1288C. Tapaped 040404050502020.,Kostenlos 1. Woche Eintrag 2 TEXTPOD 4 eine Chance 2 gewinnen 40 GB iPod oder £250 Bargeld pro wk. Txt POD zu 84128 Ts&Cs www.textpod.net custcare 08712405020.
ham,Those ducking chinchillas,जो बत्तखपरंटा कस रहे हैं,Diese duckenden Chinchillas
ham,I am in a marriage function,मैं एक शादी के समारोह में हूँ,Ich bin in einer Ehe-Funktion
ham,Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer.,uwilbs यहाँ से बाहर निकलने जा रही एक सिर शुरू हो रही है की तरह लग रहा है 230। लेकिन अगर यूयू ने मेरी कंपनी के लिए हताश हो......... / मैं पहले में हम केमर में से मिलने के लिए जा रहे थे.,"Sieht aus wie u wil b bekommen einen headstart im verlassen hier bout 2.30ish aber wenn u r verzweifelt für meine Firma könnte ich in früher gehen-wir waren gehen, um im Sommer zu treffen."
ham,Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!,'एक उड़ान बंदरों वे लगता है कि वे नहीं लगता और मैं निश्चित रूप से नहीं है. मेरे और मेरे सभी दोस्त!,"Geben Sie keinen fliegenden Affen wo sie denken, und ich habe sicherlich nichts dagegen. Jeder Freund von mir und all das!"
spam,As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,एक पंजीकृत स्तर वाले अधिवर के रूप में 4 सौ पाउंड उपहारर को सही की रसीद पर प्रवेश किया जाएगा 80062 जो कि चार्ट में कोई नहीं है,Als registrierter Optin-Abonnenten ur Draw 4 £100 Geschenkgutschein wird bei Erhalt einer korrekten ans zu 80062 Whats No1 in den BBC-Charts eingetragen
ham,say thanks2.,धन्यवाद2 कहते हैं.,Danke sagen2.
ham,Msg me when rajini comes.,जब राजीनी आती है तो मुझे बताओ.,"Msg mich, wenn Rajini kommt."
ham,Ya! when are ü taking ure practical lessons? I start in june..,मैं जूना में शुरू.,Ich beginne im Juni.
ham,"That's good, because I need drugs","यह अच्छा है, क्योंकि मैं दवाओं की जरूरत है","Das ist gut, denn ich brauche Drogen."
ham,Stupid.its not possible,बेवकूफ ।,Blöd.es nicht möglich
ham,Can ü all decide faster cos my sis going home liao..,यह सब बहुत तेज़ी से तय कर सकता है कि मैं घर आ रही हूँ ।,"Können wir alle schneller entscheiden, weil meine Schwester nach Hause geht?"
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804,Yr क्षेत्र में सेक्सी के साथ एक गपशप या इश्वर के साथ इश्‍कबाज़ी करने के लिए? अब MermmY को अभी जवाब देने के लिए. मुफ्त 2 शामिल हो जाओ. Tueee COOOOOOOECT999999804 8080804.,Endlich Sommer hier! Lust auf einen Chat oder flirten mit sexy Singles im yr Bereich? Um MATCHED zu bekommen einfach antworten SUMMER jetzt. Free 2 Join. OptOut txt STOP Help08714742804
ham,U sleeping now.. Or you going to take? Haha.. I got spys wat.. Me online checking n replying mails lor..,अमेरिका अब सो रही है. या आप ले जाने के लिए जा रहे हैं? हा. मैं जासूस मिल गया. मुझे ऑनलाइन जाँच पत्र का जवाब दे रहा है.,U jetzt schlafen.. Oder Sie nehmen? Haha.. Ich habe Spione wat.. Ich online überprüfen n antworten Mails lor..
spam,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA,CLELLLL यहाँ है HURELARSELESULERSERSESULAR और अब केवल यू.,CLAIRE hier bin Havin Borin Zeit & bin jetzt allein U will über 2nite? Chat jetzt 09099725823 Hoffnung 2 C U Luv CLAIRE xx Anrufe£1/minmoremobsEMSPOBox45PO139WA
ham,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.","दुनिया के साथ संघर्ष करना आसान है, या यू. यू.","Mit der Welt zu kämpfen ist einfach, u entweder gewinnen oder verlieren bt kämpfen mit einigen1, die nahe an u ist Dificult, wenn u verlieren - u verlieren, wenn u gewinnen - u immer noch verlieren."
spam,Bought one ringtone and now getting texts costing 3 pound offering more tones etc,एक अंगूठी पर लगा एक और अब पाठों की कीमत 3 पाउंड प्रतियाँ पेश की जा रही हैं...,Gekauft ein Klingelton und jetzt immer Texte kosten 3 Pfund bietet mehr Töne etc
ham,"Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D","Yacuka fuka. Bnu maky maky maka (muka) seka (muka), तो nyfaka अभी भी nakaka f है. gukakaky मुझे हे:","Jalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (Ehe)program edhae, so ist lyf nt noch ovr chikku..ali vargu lyfu meow meow:-D"
ham,Kinda. First one gets in at twelve! Aah. Speak tomo,क्षमा करें. पहले एक 12 पर हो जाता है! Aah.mo से बात करो.,Der Erste kommt um 12 Uhr rein.
spam,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!","090666266202020204! आपके मोबाइल में कोई 0.70,000 डॉलर का पुरस्कार 02/06/03 पर आ गया! यह 2रा प्रयास है आप तक पहुँचने की कोशिश!","09066362231 URGENT! Ihr Handy No 07xxxxxxxx hat am 02/06/03 einen $2.000 Bonus-Caller-Preis gewonnen! Dies ist der 2. Versuch, SIE zu erreichen! Rufen Sie 09066362231 so schnell wie möglich an!"
ham,Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...,Oke अच्छा तब मैं बाद में कली पाते हैं... सीएल पहले जाने के लिए कहा... बाद में ले लो फिर से नहीं...,"Ok gut, dann komme ich später zu finden u... C Glück habe ich gesagt, u zu gehen früher... Später pple nehmen beenden u nicht mehr..."
ham,Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.,वेट ukik मैं नीचे गिर जाएगा। लेकिन वास्तव में मैं gike हूँ 2 गिर रहा हूँ। घर में मेरे पिताजी उसे कहते हैं कि मुझे पहले से ही लाने के लिए कहते हैं।,Wat macht u thk I 'll fallen. Aber eigentlich ich thk ich bin ziemlich anfällig 2 Stürze. Glück mein Vater zu Hause frage ich ihn kommen n holen mich bereits.
spam,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+","आप TAT: 8333 ""CAT-SURSUC/MERSURS/MEHA4444"" की गारंटी दे रहे हैं नवीनतम आईजी फोन, एक 40GB आई आई3 प्लेयर या एक पाउंड के इनाम की गारंटी दे रहे हैं. टी. वी.","YOU 07801543489 sind garantiert die neuesten Nokia Phone, ein 40 GB iPod MP3-Player oder ein £500 Preis! Txt Wort:COLLECT auf No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
ham,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,आपका खाता RRAL &lgt; DECILYELANgt; आपका खाता शेष राशि Rslt &tgt; EDIMgt;. आपका लेन- देन आईडी KRlllt है &gt;# wgt;#gt;,Ihr Konto wurde erfolgreich von INR &lt;DECIMAL&gt; wiederaufgefüllt. Ihr KeralaCircle Prepaid Kontostand ist Rs &lt;DECIMAL&gt;. Ihre Transaktions-ID ist KR &lt;#&gt;.
